display_name,name,version,thinking,input_token_limit,output_token_limit,temperature,top_p,top_k,description,supported_actions
Gemini 3 Pro Preview,models/gemini-3-pro-preview,3-pro-preview-11-2025,True,1048576,65536,1.0,0.95,64,Gemini 3 Pro Preview,"['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']"
Gemini 3 Flash Preview,models/gemini-3-flash-preview,3-flash-preview-12-2025,True,1048576,65536,1.0,0.95,64,Gemini 3 Flash Preview,"['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']"
Nano Banana Pro,models/gemini-3-pro-image-preview,3.0,True,131072,32768,1.0,0.95,64,Gemini 3 Pro Image Preview,"['generateContent', 'countTokens', 'batchGenerateContent']"
Nano Banana Pro,models/nano-banana-pro-preview,3.0,True,131072,32768,1.0,0.95,64,Gemini 3 Pro Image Preview,"['generateContent', 'countTokens', 'batchGenerateContent']"
Gemini Robotics-ER 1.5 Preview,models/gemini-robotics-er-1.5-preview,1.5-preview,True,1048576,65536,1.0,0.95,64,Gemini Robotics-ER 1.5 Preview,"['generateContent', 'countTokens']"
Gemini 2.5 Computer Use Preview 10-2025,models/gemini-2.5-computer-use-preview-10-2025,Gemini 2.5 Computer Use Preview 10-2025,True,131072,65536,1.0,0.95,64,Gemini 2.5 Computer Use Preview 10-2025,"['generateContent', 'countTokens']"
Deep Research Pro Preview (Dec-12-2025),models/deep-research-pro-preview-12-2025,deepthink-exp-05-20,True,131072,65536,1.0,0.95,64,"Preview release (December 12th, 2025) of Deep Research Pro","['generateContent', 'countTokens']"
Embedding 001,models/embedding-001,001,,2048,1,,,,Obtain a distributed representation of a text.,['embedContent']
Text Embedding 004,models/text-embedding-004,004,,2048,1,,,,Obtain a distributed representation of a text.,['embedContent']
Gemini Embedding Experimental 03-07,models/gemini-embedding-exp-03-07,exp-03-07,,8192,1,,,,Obtain a distributed representation of a text.,"['embedContent', 'countTextTokens', 'countTokens']"
Gemini Embedding Experimental,models/gemini-embedding-exp,exp-03-07,,8192,1,,,,Obtain a distributed representation of a text.,"['embedContent', 'countTextTokens', 'countTokens']"
Gemini Embedding 001,models/gemini-embedding-001,001,,2048,1,,,,Obtain a distributed representation of a text.,"['embedContent', 'countTextTokens', 'countTokens', 'asyncBatchEmbedContent']"
Model that performs Attributed Question Answering.,models/aqa,001,,7168,1024,0.2,1.0,40,"Model trained to return answers to questions that are grounded in provided sources, along with estimating answerable probability.",['generateAnswer']
Imagen 4 (Preview),models/imagen-4.0-generate-preview-06-06,01,,480,8192,,,,Vertex served Imagen 4.0 model,['predict']
Imagen 4 Ultra (Preview),models/imagen-4.0-ultra-generate-preview-06-06,01,,480,8192,,,,Vertex served Imagen 4.0 ultra model,['predict']
Imagen 4,models/imagen-4.0-generate-001,001,,480,8192,,,,Vertex served Imagen 4.0 model,['predict']
Imagen 4 Ultra,models/imagen-4.0-ultra-generate-001,001,,480,8192,,,,Vertex served Imagen 4.0 ultra model,['predict']
Imagen 4 Fast,models/imagen-4.0-fast-generate-001,001,,480,8192,,,,Vertex served Imagen 4.0 Fast model,['predict']
Veo 2,models/veo-2.0-generate-001,2.0,,480,8192,,,,Vertex served Veo 2 model. Access to this model requires billing to be enabled on the associated Google Cloud Platform account. Please visit https://console.cloud.google.com/billing to enable it.,['predictLongRunning']
Veo 3,models/veo-3.0-generate-001,3.0,,480,8192,,,,Veo 3,['predictLongRunning']
Veo 3 fast,models/veo-3.0-fast-generate-001,3.0,,480,8192,,,,Veo 3 fast,['predictLongRunning']
Veo 3.1,models/veo-3.1-generate-preview,3.1,,480,8192,,,,Veo 3.1,['predictLongRunning']
Veo 3.1 fast,models/veo-3.1-fast-generate-preview,3.1,,480,8192,,,,Veo 3.1 fast,['predictLongRunning']
Gemini 2.5 Flash Native Audio Latest,models/gemini-2.5-flash-native-audio-latest,Gemini 2.5 Flash Native Audio Latest,True,131072,8192,1.0,0.95,64,Latest release of Gemini 2.5 Flash Native Audio,"['countTokens', 'bidiGenerateContent']"
Gemini 2.5 Flash Native Audio Preview 09-2025,models/gemini-2.5-flash-native-audio-preview-09-2025,gemini-2.5-flash-preview-native-audio-dialog-2025-05-19,True,131072,8192,1.0,0.95,64,Gemini 2.5 Flash Native Audio Preview 09-2025,"['countTokens', 'bidiGenerateContent']"
Gemini 2.5 Flash Native Audio Preview 12-2025,models/gemini-2.5-flash-native-audio-preview-12-2025,12-2025,True,131072,8192,1.0,0.95,64,Gemini 2.5 Flash Native Audio Preview 12-2025,"['countTokens', 'bidiGenerateContent']"
